_id,_name
1,Hà Nội
2,Hải Phòng
3,Bắc Giang
4,Bắc Kạn
5,Bắc Ninh
6,Cao Bằng
7,Điện Biên
8,Hòa Bình
9,Hải Dương
10,Hà Giang
11,Hà Nam
12,Hưng Yên
13,Lào Cai
14,Lai Châu
15,Lạng Sơn
16,Ninh Bình
17,Nam Định
18,Phú Thọ
19,Quảng Ninh
20,Sơn La
21,Thái Bình
22,Thái Nguyên
23,Tuyên Quang
24,Vĩnh Phúc
25,Yên Bái
26,Đà Nẵng
27,Thừa Thiên Huế
28,Khánh Hòa
29,Lâm Đồng
30,Bình Định
31,Bình Thuận
32,Đắk Lắk
33,Đắk Nông
34,Gia Lai
35,Hà Tĩnh
36,Kon Tum
37,Nghệ An
38,Ninh Thuận
39,Phú Yên
40,Quảng Bình
41,Quảng Nam
42,Quảng Ngãi
43,Quảng Trị
44,Thanh Hóa
45,Hồ Chí Minh
46,Bình Dương
47,Bà Rịa Vũng Tàu
48,Cần Thơ
49,An Giang
50,Bạc Liêu
51,Bình Phước
52,Bến Tre
53,Cà Mau
54,Đồng Tháp
55,Đồng Nai
56,Hậu Giang
57,Kiên Giang
58,Long An
59,Sóc Trăng
60,Tiền Giang
61,Tây Ninh
62,Trà Vinh
63,Vĩnh Long
