_id,_name,_parent
66,Quận Ba Đình,1
67,Quận Hoàn Kiếm,1
68,Quận Tây Hồ,1
69,Quận Long Biên,1
70,Quận Cầu Giấy,1
71,Quận Đống Đa,1
72,Quận Hai Bà Trưng,1
73,Quận Hoàng Mai,1
74,Quận Thanh Xuân,1
75,Huyện Sóc Sơn,1
76,Huyện Đông Anh,1
77,Huyện Gia Lâm,1
78,Quận Nam Từ Liêm,1
79,Huyện Thanh Trì,1
80,Quận Bắc Từ Liêm,1
81,Huyện Mê Linh,1
82,Quận Hà Đông,1
83,Thị xã Sơn Tây,1
84,Huyện Ba Vì,1
85,Huyện Phúc Thọ,1
86,Huyện Đan Phượng,1
87,Huyện Hoài Đức,1
88,Huyện Quốc Oai,1
89,Huyện Thạch Thất,1
90,Huyện Chương Mỹ,1
91,Huyện Thanh Oai,1
92,Huyện Thường Tín,1
93,Huyện Phú Xuyên,1
94,Huyện Ứng Hòa,1
95,Huyện Mỹ Đức,1
96,Thành phố Hà Giang,10
97,Huyện Đồng Văn,10
98,Huyện Mèo Vạc,10
99,Huyện Yên Minh,10
100,Huyện Quản Bạ,10
101,Huyện Vị Xuyên,10
102,Huyện Bắc Mê,10
103,Huyện Hoàng Su Phì,10
104,Huyện Xín Mần,10
105,Huyện Bắc Quang,10
106,Huyện Quang Bình,10
107,Thành phố Cao Bằng,6
108,Huyện Bảo Lâm,6
109,Huyện Bảo Lạc,6
110,Huyện Thông Nông,6
111,Huyện Hà Quảng,6
112,Huyện Trà Lĩnh,6
113,Huyện Trùng Khánh,6
114,Huyện Hạ Lang,6
115,Huyện Quảng Uyên,6
116,Huyện Phục Hoà,6
117,Huyện Hoà An,6
118,Huyện Nguyên Bình,6
119,Huyện Thạch An,6
120,Thành Phố Bắc Kạn,4
121,Huyện Pác Nặm,4
122,Huyện Ba Bể,4
123,Huyện Ngân Sơn,4
124,Huyện Bạch Thông,4
125,Huyện Chợ Đồn,4
126,Huyện Chợ Mới,4
127,Huyện Na Rì,4
128,Thành phố Tuyên Quang,23
129,Huyện Lâm Bình,23
130,Huyện Nà Hang,23
131,Huyện Chiêm Hóa,23
132,Huyện Hàm Yên,23
133,Huyện Yên Sơn,23
134,Huyện Sơn Dương,23
135,Thành phố Lào Cai,13
136,Huyện Bát Xát,13
137,Huyện Mường Khương,13
138,Huyện Si Ma Cai,13
139,Huyện Bắc Hà,13
140,Huyện Bảo Thắng,13
141,Huyện Bảo Yên,13
142,Thị xã Sa Pa,13
143,Huyện Văn Bàn,13
144,Thành phố Điện Biên Phủ,7
145,Thị Xã Mường Lay,7
146,Huyện Mường Nhé,7
147,Huyện Mường Chà,7
148,Huyện Tủa Chùa,7
149,Huyện Tuần Giáo,7
150,Huyện Điện Biên,7
151,Huyện Điện Biên Đông,7
152,Huyện Mường Ảng,7
153,Huyện Nậm Pồ,7
154,Thành phố Lai Châu,14
155,Huyện Tam Đường,14
156,Huyện Mường Tè,14
157,Huyện Sìn Hồ,14
158,Huyện Phong Thổ,14
159,Huyện Than Uyên,14
160,Huyện Tân Uyên,14
161,Huyện Nậm Nhùn,14
162,Thành phố Sơn La,20
163,Huyện Quỳnh Nhai,20
164,Huyện Thuận Châu,20
165,Huyện Mường La,20
166,Huyện Bắc Yên,20
167,Huyện Phù Yên,20
168,Huyện Mộc Châu,20
169,Huyện Yên Châu,20
170,Huyện Mai Sơn,20
171,Huyện Sông Mã,20
172,Huyện Sốp Cộp,20
173,Huyện Vân Hồ,20
174,Thành phố Yên Bái,25
175,Thị xã Nghĩa Lộ,25
