_id,_name
1,Kế toán - Kiểm toán
2,Hành chính - Văn phòng
3,Việc làm thời vụ
4,Sinh viên làm thêm
5,Xây dựng
6,Điện - Điện tử
7,Làm bán thời gian
8,Vận tải - Lái xe
9,Khách sạn - Nhà hàng
10,Nhân viên kinh doanh
11,Bán hàng
12,Cơ khí - Chế tạo
13,Lao động phổ thông
14,IT phần mềm
15,Marketing - PR
16,Nhập liệu
17,Giáo dục - Đào tạo
18,Kỹ thuật
19,Y tế - Dược
20,Quản trị kinh doanh
21,Dịch vụ
22,Biên - Phiên dịch
23,Dệt may - Da giày
24,Tìm việc làm thêm
25,Kiến trúc - Tk nội thất
26,Xuất nhập khẩu
27,IT Phần cứng - mạng
28,Nhân sự
29,Thiết kế - Mỹ thuật
30,Tư vấn
31,Bảo vệ
32,Ô tô - xe máy
33,Thư ký - Trợ lý
34,KD bất động sản
35,Du lịch
36,Báo chí
37,Thực phẩm - Đồ uống
38,Ngành nghề khác
39,Vật tư - Thiết bị
40,Thiết kế web
41,In ấn - Xuất bản
42,Nông - Lâm - Ngư - Nghiệp
43,Thương mại điện tử
44,Việc làm thêm tại nhà
45,Chăm sóc khách hàng
46,Sinh viên mới tốt nghiệp - Thực tập
47,Kỹ thuật ứng dụng
48,Bưu chính viễn thông
49,Telesales
50,Dầu khí - Địa chất
51,Giao thông vận tải - Thủy lợi - Cầu đường
52,Khu chế xuất - Khu công nghiệp
53,Làm đẹp - Thể lực - Spa
54,Luật - Pháp lý
55,Môi trường - Xử lý chất thải
56,Mỹ phẩm - Thời trang - Trang sức
57,Ngân hàng - Chứng khoán - Đầu tư
58,Nghệ thuật - Điện ảnh
59,Phát triển thị trường
60,Phục vụ - Tạp vụ
61,Quan hệ đối ngoại
62,Quản lý điều hành
63,Sản xuất - Vận hành sản xuất
64,Thẩm định - Giám thẩm định - Quản lý chất lượng
65,Thể dục - Thể thao
66,Hóa học - Sinh học
67,Bảo hiểm
68,Freelancer
69,Công chức - Viên chức 
70,Điện tử viễn thông
71,Hoạch định - Dự án
72,Lương cao
73,Tiếp thị - Quảng cáo
74,Việc làm Tết
75,Giúp việc
76,Thủy sản
77,Công nghệ thực phẩm
78,Chăn nuôi / Thú y
79,An toàn lao động
80,Hàng không
81,Thư viện
82,Tổ chức sự kiện
83,Trắc địa
84,Thống kê
85,Bảo trì
86,Hàng hải
87,Nấu ăn
88,Truyền thông
89,Startup
90,Copywriter
91,Xuất khẩu lao động
92,Công nghệ cao
93,Tài chính
94,Thu ngân
95,Lễ tân - PG - PB
96,Pha chế - Bar
97,Đầu bếp - phụ bếp
98,Logistic
99,Vận chuyển - giao nhận
100,Quản lý đơn hàng
101,It
102,Tài chính - Ngân hàng
103,An ninh - Bảo vệ
104,Dịch vụ du lịch
105,Giao thông vận tải
106,Bất động sản
107,Kiến trúc - Nội thất
108,Môi trường
109,Sức khỏe - Spa
110,Mỹ phẩm - Thời trang
111,Marketing
112,Kinh doanh - Bán hàng
113,Thiết kế
114,Truyền thông PR
115,Y tế
116,Việc làm online
117,Việc làm nước ngoài
118,Phi chính phủ - Phi lợi nhuận
